amyklobuchar,D
BillCassidy,R
ChrisCoons,D
ChrisVanHollen,D
ChuckGrassley,R
GrahamBlog,R
InhofePress,R
JeffFlake,R
JerryMoran,R
JohnBoozman,R
JohnCornyn,R
KamalaHarris,D
lisamurkowski,R
lutherstrange,R
MarkWarner,D
MartinHeinrich,D
maziehirono,D
McCaskillOffice,D
McConnellPress,R
MikeCrapo,R
PattyMurray,D
RandPaul,R
RonWyden,D
RoyBlunt,R
SenAlexander,R
SenAngusKing,D
SenatorBaldwin,D
SenatorBurr,R
SenatorCantwell,D
SenatorCardin,D
SenatorCarper,D
SenatorCollins,R
SenatorDurbin,D
SenatorEnzi,R
SenatorFischer,R
SenatorHassan,D
SenatorHeitkamp,D
SenatorIsakson,R
SenatorLankford,R
SenatorLeahy,D
SenatorMenendez,D
SenatorRisch,R
SenatorRounds,R
SenatorShaheen,D
SenatorTester,D
SenatorTimScott,R
SenatorTomUdall,D
SenatorWicker,R
SenBennetCO,D
SenBillNelson,D
SenBlumenthal,D
SenBobCasey,D
SenBobCorker,R
SenBookerOffice,D
SenBrianSchatz,D
SenCapito,R
SenCortezMasto,D
SenCoryGardner,R
SenDanSullivan,R
sendavidperdue,R
SenDeanHeller,R
SenDonnelly,D
SenDuckworth,D
SenFeinstein,D
SenFranken,D
SenGaryPeters,D
SenGillibrand,D
SenJackReed,D
SenJeffMerkley,D
Sen_JoeManchin,D
SenJohnBarrasso,R
SenJohnHoeven,R
SenJohnKennedy,R
SenJohnMcCain,R
SenJohnThune,R
SenJoniErnst,R
SenKaineOffice,D
SenMarkey,D
SenMikeLee,R
SenMurphyOffice,D
senorrinhatch,R
SenPatRoberts,R
senrobportman,R
SenRonJohnson,R
SenRubioPress,R
SenSanders,D
SenSasse,R
SenSchumer,D
SenShelby,R
SenSherrodBrown,D
SenStabenow,D
SenTedCruz,R
SenThadCochran,R
SenThomTillis,R
SenToddYoung,R
SenTomCotton,R
SenToomey,R
SenWarren,D
SenWhitehouse,D
SteveDaines,R
